Date,Year,Paddock,Territory,Nest_ID,Egg_ID,Length,Width,Hatch_order,Toenail,Band_Combo,Band_Number,Shield to Tip,Tarsus,Mass,Blood,Comments,
04-Jan-09,2009,CWSW,NPSW,BR,BR8,54.44,36.13,10,TN4+6,,,21.77,21.23,27,,Likely 10th to hatch,
08-Jan-09,2009,RFCS,NPNC,BQ,BQ1,47.64,36.53,1,TN1,,M-66886(r),20.26,21.72,25,,,
09-Jan-09,2009,CWN,NPNC,BQ,BQ3,49.29,35.72,2,TN2,,M-66887(l),20.70,20.07,49,,,
10-Aug-10,2010,HAYTER'S,HAYTER'S  WL NW,B,B1,,,1,TN1,m- /R,M-66903,21.30,22.20,24,Y,,
5-Sep-10,2010,SY2,SY2 E,H,H3,,,1,TN1,White,,20.90,22.00,26,Y,,
8-Sep-10,2010,SY2,SY2 E,H,H4,,,2,TN2,Red,,19.60,22.40,24,Y,,
8-Sep-10,2010,SY1,SY1 NE,K,K5,,,1,TN1,Blue ,,20.00,22.00,28,Y,,
8-Sep-10,2010,SY1 ,SY1 NE,K,K4,,,2,TN2,White,,21.00,22.50,24,Y,,
9-Sep-10,2010,SY1 ,SY1 NE,K,K3,,,3,TN3,Green,,,,24,Y,too cold,
12-Sep-10,2010,SY2,SY2 C,J,J1,,,1,TN1,Yellow,,22.20,22.40,26,Y,,
13-Sep-10,2010,SY2,SY2 C,J,J3,,,2,TN2,Green,,20.90,21.80,26,Y,,
13-Sep-10,2010,LAG,LAG FLATS,L,L1,,,4,TN4,Yellow,,21.90,22.10,30,Y,,
14-Sep-10,2010,SWEDE,SWEDE SW,X,X2,,,1,TN1,Yellow,,22.40,23.40,28,Y,,
15-Sep-10,2010,NPB,NPB S,O,O2,,,1,TN1,Yellow,,20.20,20.60,22,Y,,
6-Oct-10,2010,CRS,CRS,AU,AU9,51.00,34.50,7,TN7,Yellow (left),,19.10,21.20,24,,,
14-Oct-10,2010,CACT,CACT SE CORNER,AW,AW2,50.70,36.50,1,TN1,Yellow,,19.90,21.60,24,,,
15-Oct-10,2010,CACT,CACT SE CORNER,AW,AW4,52.50,36.00,4,TN4,White,,,21.50,23,,cold,
20-Oct-10,2010,CACT,CACT SE CORNER,AW,AW6,50.00,34.90,5,TN5,Niger,,,,24,,,
26-Sep-14,2014,SY1,SY1 C,D,D3,53.29,38.20,1,TN1 ,,,,,,,,
29-Sep-14,2014,SY2,SY2 SW,AN,AN1,51.92,37.52,1,TN1,,,19.92,20.73,28,,,
8-Oct-14,2014,RF,RF SE,AG,AG3,46.53,36.39,1,TN1,,,19.97,20.73,22,,,
11-Oct-14,2014,SWEDE,SWEDE,AE,AE2,49.07,34.27,1,TN1,,,21.05,21.21,20,,,
12-Oct-14,2014,SWEDE,SWEDE,AE,AE1,53.10,35.71,2,TN2,,,20.59,21.94,21,,,
8-Sep-15,2015,SPB,SPBSW,W,W1,54.38,39.50,4,TN4,,,23.59,22.31,31,,,
12-Sep-15,2015,NCST,NCST SE,J,J4,53.22,37.08,1,TN1,,,21.00,21.02,27,,,
27-Sep-15,2015,NCST,NCST SESE,K,K4,53.57,34.41,1,TN1,,,22.72,21.60,24,,,
2-Oct-15,2015,NCST,NCST SESE,K,K1,55.15,35.53,4,TN4,,,21.29,24.00,28,,,
2-Oct-15,2015,NPB,NPB SW,U,U11,48.52,36.27,2,TN2,,,21.17,21.71,23,,,
2-Oct-15,2015,NPB,NPB SW,U,U6,51.25,36.51,3,TN3,,,20.81,20.62,18,,,
13-Oct-15,2015,HAY2,HAY2 SE,AQ,AQ3,56.20,38.28,4,TN4,,,22.32,24.53,28,,,
27-Oct-15,2015,NPB,NPB C,AK,AK1,53.06,37.10,3,TN3,,,22.01,21.68,26,,,
30-Oct-15,2015,STAFF,STAFF GATE,AP,AP1,52.70,35.10,1,TN1,,,22.04,23.32,22,,,
30-Oct-15,2015,STAFF,STAFF GATE,AP,AP3,54.19,35.33,2,TN2,,,21.76,23.17,23,,,
30-Oct-15,2015,STAFF,STAFF GATE,AP,AP7,54.89,35.99,3,TN3,,,22.14,22.91,26,,,
30-Oct-15,2015,STAFF,STAFF GATE,AP,AP2,55.55,36.37,4,TN4,,,20.93,22.06,23,,,
30-Oct-15,2015,SWEDE,SWEDE NW,AR,AR2,49.36,35.40,1,TN1,,,20.16,19.42,18,,,
30-Oct-15,2015,STAFF,STAFF S,BE,BE5,51.30,37.16,1,TN1,,,22.68,23.08,24,,,
1-Nov-15,2015,STAFF,STAFF S,BE,BE1,56.27,37.17,3,TN3,,,21.19,22.38,27,,,
2-Nov-15,2015,STAFF,STAFF S,BE,BE7,52.08,37.09,4,TN4,,,22.45,22.91,28,,,
3-Nov-15,2015,STAFF,STAFF S,BE,BE4,56.52,36.64,5,TN5,,,22.31,24.05,26,,,
3-Nov-15,2015,SY1,SY1 SSE,BI,BI1,51.90,36.35,1,TN1,,,20.43,22.22,24,,,
3-Nov-15,2015,SY2,SY2 LAG,BK,BK1,50.85,37.15,4,TN4,,,21.74,22.90,22,,,
8-Nov-15,2015,NPB,NPB C,AW,AW5,53.98,36.54,5,TN5,,,23.25,24.01,27,,,
11-Nov-15,2015,CACT,CACT W VALLEY,BH,BH3,52.45,37.45,1,TN1,,,21.72,21.82,25,,,
14-Nov-15,2015,CACT,CACT W VALLEY,BH,BH5,52.65,38.25,2,TN2,,,22.46,23.48,29,,,
15-Nov-15,2015,CACT,CACT W VALLEY,BH,BH6,52.10,37.35,3,TN3,,,22.58,22.12,28,,,
17-Nov-15,2015,SPB,SPB NW,BL,BL4,54.65,35.11,2,TN2,,,21.45,22.95,25,,,
18-Nov-15,2015,SPB,SPB NW,BL,BL5,56.23,34.84,3,TN3,,,21.55,22.02,27,,,
24-Nov-15,2015,RF,RF SE ,BM,BM2,55.6,38.18,4,TN4,,,21.91,23.51,30,,,
23-Dec-15,2015,SPB,SPB MID NW FENCE,CE,CE1,52.13,37.16,,TN1,,,21.00,22.95,25,YES,LIKELY NOT FIRST TO HATCH,
24-Dec-15,2015,WSHOP,WSHP NW,BT,BT1,53.63,37.01,1,TN1,,,22.15,22.35,25,YES,,
26-Dec-15,2015,WSHOP,WSHP NW,BT,BT5,53.37,37.4,3,TN2,,,21.63,21.78,26,YES,,
26-Dec-15,2015,WSHOP,WSHP NW,BT,BT2,53.89,37.2,2,TN3,,,21.89,22.16,26,YES,"ACTUALLY THE SECOND CHICK HATCHED THAT WE MISSED ON OUR DAY OFF, NOT AT NEST WHEN WE WENT EARLIER TODAY",
28-Dec-15,2015,WSHOP,WSHP NW,BT,BT4,55.94,36.95,4,TN4,,,20.94,22.27,29,YES,,
29-Dec-15,2015,WSHOP,WSHP NW,BT,BT6,53.8,36.52,5,TN5,,,21.15,21.71,27,YES,,
29-Dec-15,2015,SPB ,SPB NC N EX,CF,CF1?,50.71,37.63,,TN1,,,21.65,22.60,26,YES,,
29-Dec-15,2015,SPB ,SPB NC N EX,CF,CF5?,51.97,38.46,,TN2,,,21.53,21.75,30,YES,"CF5 EGG WAS VIRTUALLY INTACT IN NEST, LIKELY FROM THAT ONE",
30-Dec-15,2015,SPB ,SPB NC N EX,CF,CF8,53.71,38.5,3,TN4,,,22.02,22.72,30,YES,"NEWBIE, SHOULD BE TN3, FROM CF8",
31-Dec-15,2015,SPB ,SPB NC N EX,CF,CF3,53.47,38.08,4,TN5,,,21.02,22.04,28,YES,,
1-Jan-16,2016,SPB ,SPB NC N EX,CF,CF9,54.86,37.33,5,TN6,,,21.79,23.79,29,YES,,
2-Jan-16,2016,SPB ,SPB SE FENCE,CD,CD3,50.56,37.46,1,TN1,,,21.71,20.36,24,YES,,
3-Jan-16,2016,SPB ,SPB MID E FENCE,CC,CC1,54.43,39.19,3,TN3,,,22.75,22.70,31,YES,,
6-Jan-16,2016,SPB ,SPB SE FENCE,CD,CD5?,48.9,38.87,4,TN4,,,22.60,20.74,21.5,YES,,
8-Jan-16,2016,NPB,NPB NW,CA,CA2,53.2,36.29,1,TN1,,,22.44,21.04,26,YES,LIKELY CA2,
8-Jan-16,2016,NPB,NPB NW,CA,CA4,53.74,35.7,2,TN2,,,22.33,23.18,23,YES,LIKELY CA4,
18-Sep-16,2016,SY2,SY2 C,W,W4,53.69,39.14,1,TN1,,,21.39,23.75,31,,,
19-Sep-16,2016,SPB ,SPB W,Q,Q2,54.34,37.10,1,TN1,,,21.15,22.76,30,,,
20-Sep-16,2016,SPB ,SPB W,Q,Q6,56.43,37.67,2,TN2,,,21.69,23.45,32,,,
23-Sep-16,2016,CACT,CACT S GATE,X,X3,54.22,37.10,1,TN1,,,20.93,24.87,26,,,
25-Sep-16,2016,NPB ,NPB SW,F,F5,55.38,37.82,1,TN1,,,22.52,21.92,32,,,
27-Sep-16,2016,RF,RF NE,E,E9,53.63,37.29,1,TN1,,,20.56,21.47,27,,,
27-Sep-16,2016,RF,RF NE,E,E3,53.42,38.24,2,TN2,,,21.35,21.24,28,,,
28-Sep-16,2016,CACT,CACT S GATE,X,X6,55.38,37.63,2,TN2,,,21.88,22.85,28,,,
28-Sep-16,2016,STAFF,STAFF NW,B,B6,53.85,36.47,2,TN1*,,,19.88,22.92,24,,,
30-Sep-16,2016,CACT,CACT S GATE,X,X1,56.27,37.17,3,TN3,,,22.46,23.80,26,,,
03-Oct-16,2016,NPB,NPB CW,G,G5,53.95,37.52,1,TN1,,,21.33,23.34,28,,,
4-Oct-16,2016,NPB ,NPB SW,F,G6,51.94,35.56,3,TN3,,,21.20,22.00,22,,,
5-Oct-16,2016,RF,RF NW,AL,AL10,53.29,36.49,1,TN1,,,20.63,22.76,24,,,
13-Oct-16,2016,NPB ,NPB SE,AG,AG6,53.62,36.19,1,TN1,,,20.98,21.90,27,,,
17-Oct-16,2016,SY1,SY1 E,AI,AI6,53.09,37.16,1,TN1,,,21.06,22.23,25,,,
17-Oct-16,2016,SY1,SY1 E,AI,AA3,51.66,35.84,2,TN2,,,20.65,22.30,22,,,
17-Oct-16,2016,SY1,SY1 E,AI,AA4,50.37,35.25,3,TN3,,,21.49,20.84,23,,,
19-Oct-16,2016,SY1,SY1 E,AI,AI4,50.26,35.68,4,TN4,,,22.58,22.52,28,,,
21-Oct-16,2016,RF,RF SW,AH,AH2,50.87,37.60,1,TN1,,,20.48,22.06,39,,,
22-Oct-16,2016,RF,RF SW,AH,AH1,51.04,37.30,2,TN2,,,19.53,24.68,33,,,
24-Oct-16,2016,RF,RF NW,AL,AL3,50.93,36.59,2,TN2,,,21.95,22.35,24,,,
25-Oct-16,2016,RF,RF NW,AL,AL5,54.48,36.67,3,TN3,,,21.98,22.45,26,,,
25-Oct-16,2016,RF,RF NW,AL,AL14,51.57,36.95,4,TN4,,,22.75,21.27,27,,,
26-Oct-16,2016,SWEDE ,SWEDE SE,BC,BC4,51.16,35.21,3,TN3,,,19.93,21.47,22,,,
26-Oct-16,2016,SY2,SY2 CE,AR,AL2,54.00,36.57,1,TN1,,,22.51,23.15,25,,,
27-Oct-16,2016,SY2,SY2 CE,AR,AR5,55.69,37.93,2,TN2,,,21.60,25.04,27,,,
27-Oct-16,2016,TRIG ,TRIG W,BG,BG1,51.14,38.29,2,TN2,,,21.67,23.59,27,,,
27-Oct-16,2016,TRIG ,TRIG W,BG,BG2,51.14,38.29,1,TN1,,,21.45,22.56,25,,,
28-Oct-16,2016,RF,RF W DITCH,AP,AP4,54.91,38.88,1,TN1,,,20.65,22.63,28,,,
28-Oct-16,2016,SY2,SY2 CE,AR,AL4,54.64,35.39,3,TN3,,,20.77,21.67,24,,,
29-Oct-16,2016,RF,RF W DITCH,AP,AP2,53.04,38.69,2,TN2,,,20.29,22.70,26,,,
29-Oct-16,2016,RF,RF SW,AH,AH11,52.11,34.24,3,TN3,,,21.87,22.59,21,,,
9-Nov-16,2016,NCST,NCST C,AZ,AZ1?,52.84,33.02,3,TN3,,,20.08,20.25,20,,,
10-Nov-16,2016,NPB,NPB SSW,AY,AY2,46.98,34.51,7,TN7,,,21.66,20.65,19,,,
10-Nov-16,2016,CACT,CACT S,BK,BK5,54.37,37.84,3,TN3,,,19.97,21.02,27,,,
11-Nov-16,2016,CACT,CACT S,BK,BK2,56.44,38.94,4,TN4,,,20.34,22.80,29,,,
01-Dec-16,2016,SWEDE,SWEDE S GATE,BT,BT3,51.10,37.90,6,TN6,,,21.27,22.01,26,,,
02-Dec-16,2016,NPB,NPB C,BN,BN12,50.77,37.93,1,TN1,,,20.93,21.07,22,,,
02-Dec-16,2016,NPB,NPB C,BN,BN10,51.16,36.01,2,TN2,,,21.39,21.65,26,,,
02-Dec-16,2016,SWEDE,SWEDE S GATE,BT,BT9,52.21,37.20,9,TN9,,,20.92,20.97,,,Dead,
03-Dec-16,2016,SWEDE,SWEDE S GATE,BT,BT10,52.51,36.16,10,TN10,,,20.08,21.23,25,,,
05-Dec-16,2016,SWEDE,SWEDE S GATE,BT,BT4,58.51,37.15,11,TN11,,,20.52,21.41,27,,,
06-Dec-16,2016,NPB,NPB C,BN,BN6,51.09,37.81,8,TN8,,,20.82,22.36,21,,,
14-Dec-16,2016,SY2,SY2 NE,BO,BO5,51.18,36.89,3,TN3,,,20.90,20.60,21,,,
17-Dec-16,2016,SY2,SY2 NE,BO,BO7,51.15,35.95,5,TN5,,,20.90,22.86,21,,,
19-Dec-16,2016,SY2,SY2 NE,BO,BO8,52.56,37.30,6,TN6,,,21.05,21.40,24,,,
10-Oct-17,2017,ABAY,ABAY,G,G2,53.45,37.43,1,TN1,,,20.83,,,,,
11-Oct-17,2017,ABAY,ABAY,G,G1,53.40,36.48,2,TN2,,,23.16,25.74,27,,,
12-Oct-17,2017,PETER'S,PETER'S,B,B1,52.49,37.20,1,TN1,,,20.87,22.08,26,,,
13-Oct-17,2017,SY1 ,SY1 CW,I,I5,53.64,37.53,3,TN3,,,20.56,23.21,27,,,
15-Oct-17,2017,PETER'S,PETER'S,B,B3?,50.94,37.11,4,TN5,,,20.65,21.52,25,,,
23-Oct-17,2017,NPB,NPB CE,O,O5,54.32,35.66,2,TN2,,,19.79,20.35,24,,,
24-Oct-17,2017,SPB W,SPB W,R,R6?,52.61,37.87,4,TN4,,,21.33,24.47,30,,Possibly from egg R6 (found outside the nest),
27-Oct-17,2017,PETER'S,PETER'S,C,C1,51.12,35.33,1,TN1,,,20.43,21.81,22,,,
27-Oct-17,2017,RF,RF W,D,D1?,53.71,36.98,2,TN2,,,21.34,22.79,27,,,
27-Oct-17,2017,RF,RF W,D,D4?,49.45,35.61,3,TN3a,,,21.45,21.55,24,, TN3 USED TWICE IN THIS NEST!,
28-Oct-17,2017,RF,RF W,D,D3,53.07,38.08,5,TN5,,,22.04,22.90,30,,,
28-Oct-17,2017,RF,RF W,D,D7,56.59,36.68,6,TN6,,,22.97,22.81,30,,,
31-Oct-17,2017,RF,RF W,D,D6,53.29,37.11,9,TN9,,,20.90,22.77,26,,,
31-Oct-17,2017,RF,RF NE,Y,Y3,52.11,36.07,1,TN1,,,20.77,20.93,22,,,
1-Nov-17,2017,RF,RF NE,Y,Y2,53.31,36.93,2,TN2,,,20.04,22.75,25,,,
1-Nov-17,2017,RF,RF NE,Y,Y5,52.42,37.87,3,TN3,,,20.28,21.10,27,,,
2-Nov-17,2017,WSHP ,WSHP C,V,V6,50.17,36.19,1,TN3,,,21.88,23.69,25,,"Should have been TN1  from egg V6  (older chick, V6 shell out of nest)",
2-Nov-17,2017,WSHP ,WSHP C,V,V1,51.45,36.13,2,TN4,,,21.71,22.71,26,,Should have been TN2 from egg V1  (eggshell in nest… clearly younger chick damp and stiff),
2-Nov-17,2017,SY2 ,SY2 SE,K,K5,50.80,38.08,1,TN1+5,,,20.32,22.92,26,,Accidentally clipped 1 and 5,
2-Nov-17,2017,SY2 ,SY2 SE,K,K6,49.86,36.98,2,TN2,,,21.13,22.56,24,,,
2-Nov-17,2017,SY2 ,SY2 SE,K,K8,49.76,36.45,3,TN3,,,21.10,21.79,26,,,
3-Nov-17,2017,SY2,SY2,K,K7,50.97,38.31,4,TN4,,,21.29,21.74,25,,,
04-Nov-17,2017,SY2,SY2,K,K3,50.60,37.02,5,TN6,,,21.74,22.73,21,,,
5-Nov-17,2017,SY2 SE,SY2 SE,K,K4,49.69,36.20,7,TN7,,,20.08,21.58,24,,,
16-Sep-22,2022,NCST,NCST,L,TN3,,,1,TN1,,,22.70,25.80,,,"Just hatched, still had yolk sac attached, very weak. Didn't take mass",
17-Sep-22,2022,NCST,NCST,L,TN1 or 2,,,3,TN3,,,23.30,27.70,24,,,
18-Sep-22,2022,RF,RF,A,A4,53.20,34.00,3,TN3,,,21.20,25.50,24,,Still in egg,
20-Sep-22,2022,NCST,NCST,L,L7,47.20,31.60,5,TN5,,,20.10,27.20,26,,Hatched sept 19th,
21-Sep-22,2022,RF,RF,A,A2,50.00,31.00,5,TN5,,,21.00,25.50,26,,,
21-Sep-22,2022,RF,RF,B,B1,49.40,32.60,3,TN3,,,20.50,25.10,24,,,
23-Sep-22,2022,HBR,HBR,K,K4,46.20,34.30,1,TN1,,,20.80,25.30,28,,,
24-Sep-22,2022,NPB,NPB,E,E2,50.90,32.70,3,TN3,,,26.00,25.00,22,,,
24-Sep-22,2022,HBR,HBR,K,K2,49.80,32.70,2,TN2,,,21.00,25.60,28,,,
25-Sep-22,2022,NPB,NPB,E,E2,50.90,32.70,3,TN3,,,20.50,27.40,26,,,
27-Oct-22,2022,TRIG,TRIG,BJ,BJ3,53.50,37.80,1,TN1,,,21.43,24.90,25,,,
28-Oct-22,2022,SWEDE,SWEDE CENTER,P,P4,43.70,27.00,3,TN3,,,22.17,24.99,20,,ELECTRONIC SCALE NOT SENSITIVE TO SMALL WEIGHTS,
29-Oct-22,2022,NCVE,NCVE NW,BR,BR3,50.60,37.90,3,TN3,,,21.01,25.40,30,,ELECTRONIC SCALE NOT SENSITIVE TO SMALL WEIGHTS,
1-Nov-22,2022,SWEDE ,SWEDE DITCH SE,AS,AS8,52.00,38.20,1,TN1,,,22.86,26.11,20,,ELECTRONIC SCALE NOT SENSITIVE TO SMALL WEIGHTS,
1-Nov-22,2022,NCVE,NCVE NW,BR,BR8,51.80,33.80,5,TN5,,,19.85,24.90,,,ELECTRONIC SCALE NOT SENSITIVE TO SMALL WEIGHTS,
2-Nov-22,2022,SWEDE,SWEDE DITCH SE,AS,AS7,52.90,38.30,1,TN1,,,20.77,26.93,25,,,
2-Nov-22,2022,SWEDE,SWEDE WNW,AT,AT4,53.50,37.80,1,TN1,,,21.84,26.14,26,,,
3-Nov-22,2022,NCVE,NCVE NW,BR,BR5,48.20,33.80,6,TN6,,,20.31,24.20,19,,,
3-Nov-22,2022,SWEDE,S DITCH SE,AS,AS5,53.70,36.60,3,TN3,,,22.04,23.08,27,,,
3-Nov-22,2022,STAFF3,STAFF3,BS,BS1,52.40,34.80,,TN1+8,,,21.37,26.30,21,,,
3-Nov-22,2022,WS,WS,BU,BU4,50.20,35.20,3,TN3,,,22.12,26.11,23,,,
4-Nov-22,2022,STAFF3,STAFF3,BS,BS2,50.70,34.30,3,TN3,,,20.82,23.82,21,,,
4-Nov-22,2022,SPB,SSW,BO,BO1,46.20,35.20,1,TN1,,,21.30,22.99,21,,,
5-Nov-22,2022,SWEDE,S DITCH SE,AS,AS1,51.90,38.30,4,TN4,,,22.02,27.04,28,,,
